Number of Boat in list,Year,Model,Area Code,Phone Number,Price
381,2004,2004 Hunter 466,954,954 763-397,"$173,900       "
382,2000,2000 Hunter 460,310,310 821-588,"$170,000       "
383,1999,1999 Beneteau Oceanis 461,888,888 596-426,"$169,900       "
384,2001,2001 Hunter 460,888,888 596-426,"$169,900       "
385,1999,1999 Beneteau Oceanis 461,877,877 775-640,"$169,900       "
386,2000,2000 Hunter 460 PRISTINE CONDITION & MANY UPDATES!!,866,866 271-195,"$169,900       "
387,2001,2001 Beneteau 461 Oceanis,877,877 273-039,"$169,500       "
388,1985,1985 Kelly Peterson Ultimate Bluewater Cruiser,888,888 369-411,"$164,900       "
389,1999,1999 Beneteau 461 with Furling Main,727,727 592-891,"$159,900       "
390,1979,"1979 AMEL Maramu, extensively updated",510,510 521-132,"$158,900       "
391,2000,2000 Hunter 460,619,619 888-356,"$155,000       "
392,2008,2008 Bavaria 46 (JFR),877,877 430-803,"$151,474       "
393,2002,2002 Hunter 466 bow thruster,866,866 220-931,"$149,999       "
394,1984,1984 Hillier Formosa Spindrift Center Cockpit,877,877 502-133,"$148,500       "
395,1979,1979 Pan Oceanic 46 Cutter-no teak decks,866,866 263-993,"$129,000       "
396,2007,2007 Bavaria 46 (JFR),877,877 430-803,"$128,696       "
397,2000,2000 Hunter 460,800,800 537-005,"$121,000       "
398,1998,1998 Beneteau 461,855,855 257-705,"$119,000       "
399,2000,2000 Hunter 460,954,954 763-397,"$115,000       "
400,2000,2000 Hunter 460,941,941 914-921,"$109,999       "
401,1988,1988 Kanter Custom Atlantic 46,866,866 513-857,"$109,000       "
402,1978,1978 Minnefords 46,941,941 914-921,"$101,100       "
403,1963,"1963 William Garden, Vic Franck Center Cockpit/Aft Cabin",360,360 697-848,"$99,950        "
404,1982,1982 Scheeps & Jachtbouw Steel Gaff Rigged Ketch,888,888 457-229,"$95,000        "
405,1980,1980 Morgan 46 Sloop Rig,727,727 592-891,"$94,900        "
406,1981,1981 Formosa 46,757,757 214-136,"$85,000        "
407,1978,1978 Formosa Peterson Cutter,866,866 769-908,"$52,900        "
408,1978,1978 Formosa 46 Sail Boat,866,866 417-423,"$50,000        "
409,1985,1985 Warwick Cardinal Sloop,888,888 352-901,"$49,900        "
410,1957,1957 Kettenburg PCC 46,866,866 513-857,"$39,900        "
411,2009,2009 Sleeker 45 (JFR),877,877 430-803,"$645,756       "
412,2013,2013 Lagoon 450,888,888 460-582,"$550,000       "
413,2004,2004 Steel Pilothouse Howdy Bailey 45,888,888 457-229,"$395,000       "
414,2006,2006 Hunter ,888,888 573-425,"$379,000       "
415,2007,2007 Voyage 450,866,866 220-931,"$362,500       "
416,2013,2013 Beneteau Oceanis 45 plus tender,800,800 537-005,"$359,000       "
417,2013,2013 Beneteau oceanis 45,727,727 214-159,"$346,000       "
418,2008,2008 Jeanneau 45DS,877,877 564-499,"$340,000       "
419,2008,2008 Jeanneau 45DS,800,800 537-005,"$325,000       "
420,2004,2004 Sweden Yachts 42,941,941 914-921,"$315,000       "
421,1995,1995 Prout 45,888,888 352-901,"$299,500       "
422,1996,1996 Prout 45 Owners Version,866,866 271-195,"$289,000       "
423,2006,2006 Voyage 450,866,866 220-931,"$289,000       "
424,2010,2010 Jeanneau 45 DS,866,866 491-037,"$285,000       "
425,2008,2008 Jeanneau 45DS,800,800 537-005,"$282,000       "
426,1982,1982 Herreshoff Mobjack Staysail Schooner 45,866,866 513-857,"$279,000       "
427,2012,2012 Hunter 45 Deck Salon,941,941 914-921,"$276,000       "
428,2010,2010 Hunter 45 Center Cockpit,877,877 564-499,"$268,000       "
429,2008,2008 Jeanneau Sun Odyssey 45DS,866,866 220-931,"$265,000       "
430,2009,2009 Hunter 45 Deck Saloon,888,888 452-892,"$259,900       "
431,2009,2009 Hunter 45 Deck Salon,888,888 457-229,"$257,000       "
432,2008,2008 Hunter 45 Center Cockpit,888,888 457-229,"$249,000       "
433,2005,2005 Beneteau First 44.7,310,310 821-588,"$249,000       "
434,2005,2005 Hunter ,866,866 469-964,"$243,900       "
435,2003,2003 X-Yachts IMX 45,860,860 536-777,"$240,000       "
436,2007,2007 Hunter 45 Center Cockpit,866,866 271-195,"$234,900       "
437,2007,2007 Jeanneau 45,888,888 365-848,"$229,900       "
438,2006,2006 Hunter 45 Center Cockpit,866,866 865-428,"$229,900       "
439,2007,2007 Hunter 45 Center Cockpit,954,954 763-397,"$229,000       "
440,2007,2007 Hunter 45 CC,888,888 457-229,"$228,999       "
441,2005,2005 Hunter 456,888,888 363-495,"$205,000       "
442,1984,1984 Liberty 458,941,941 914-921,"$200,000       "
443,1985,1985 Liberty 458,877,877 564-499,"$200,000       "
444,2008,2008 Beneteau First 45,954,954 763-397,"$193,613       "
445,2004,2004 Hunter 456 Center Cockpit,888,888 363-495,"$190,000       "
446,1999,1999 Hunter Passage 450,727,727 592-891,"$142,500       "
447,1998,1998 Hunter 45 CC 450 Passage,888,888 457-229,"$139,900       "
448,1997,1997 Hunter 450 Passage,941,941 914-921,"$139,900       "
449,1999,1999 Hunter 450 Passage Center Cockpit.,201,201 985-809,"$139,900       "
450,1980,1980 Formosa Peterson 46,888,888 474-702,"$135,000       "
451,1982,1982 Harris Racer,866,866 292-809,"$130,000       "
452,1989,1989 Wauquiez Amphitrite MS 45,855,855 257-705,"$129,000       "
453,1981,1981 Hardin CC Cutter/Ketch 45,866,866 513-857,"$129,000       "
454,1993,1993 Beneteau 45f5,877,877 780-526,"$127,000       "
455,1980,1980 Hardin 45 Center Cockpit Ketch,727,727 460-568,"$124,900       "
456,1989,1989 Morgan Sloop,888,888 323-848,"$118,900       "
457,1981,1981 Davidson 45,310,310 821-588,"$115,000       "
458,1981,1981 Bristol 45.5,866,866 263-993,"$109,000       "
459,1984,1984 Morgan 454 Nelson/Marek,813,813 765-948,"$99,999        "
460,1998,1998 Hunter 45 Center Cockpit,941,941 914-921,"$99,950        "
461,1997,1997 Hunter 45 Center Cockpit.,866,866 271-195,"$99,500        "
462,1984,1984 Morgan Nelson Marek,321,321 987-909,"$90,000        "
463,1985,1985 Morgan Catalina - Nelson Marek 454,727,727 460-568,"$89,900        "
464,1974,1974 Coronado 45,877,877 657-244,"$89,500        "
465,1984,1984 Beneteau First 456,888,888 669-845,"$84,500        "
466,1979,1979 Hardin 45 Center Cockpit,888,888 573-425,"$69,900        "
467,1978,1978 Bombay Trading Co Explorer,877,877 564-499,"$60,000        "
468,1987,1987 Hunter Legend,866,866 220-931,"$59,000        "
469,1985,"1985 Gulfstar 45 CC/AC,Gen",866,866 263-993,"$54,900        "
470,1972,1972 Columbia C45,941,941 914-921,"$44,500        "
471,1977,1977 Starratt Jenks 45 Cruiser,941,941 914-921,"$40,000        "
472,1972,1972 Columbia Columbia 45 Sloop,404,404 626-621,"$38,500        "
473,1983,1983 Nelson Marek ,888,888 596-426,"$35,000        "
474,1980,1980 Bluewater Yachts Ingrid 38,877,877 564-970,"$34,900        "
475,1956,1956 William Garden 45 Yawl,941,941 914-921,"$30,000        "
476,1972,1972 Columbia Sloop,252,252 444-180,"$15,000        "
477,2009,2009 Lagoon 440 Owners Version,954,954 763-397,"$490,000       "
478,2007,2007 Lagoon 440,866,866 220-931,"$450,000       "
479,2007,2007 Lagoon 440 Catamaran,866,866 220-931,"$450,000       "
480,2006,2006 Lagoon 440,866,866 220-931,"$410,000       "
481,2006,2006 Lagoon 440,866,866 220-931,"$410,000       "
482,2008,2008 Lagoon 440,954,954 763-397,"$399,000       "
483,2012,2012 Dufour 445,954,954 763-397,"$349,900       "
484,2013,2013 Jeanneau 44DS,888,888 365-848,"$329,900       "
485,2004,2004 Lagoon 440,619,619 319-013,"$319,000       "
486,2011,2011 Catalina 445,561,561 844-410,"$309,900       "
487,2002,2002 St Francis Catamaran,866,866 220-931,"$290,000       "
488,1996,1996 Gozzard Aft cockpit MK 1,877,877 470-353,"$274,900       "
489,2010,2010 Catalina 445,877,877 564-499,"$274,000       "
490,2009,2009 Catalina Catalina Morgan 440,727,727 592-891,"$259,900       "
491,2001,2001 X-Yachts X-442,860,860 536-777,"$259,000       "
492,1977,1977 Cherubini 44 Cutter,727,727 460-568,"$249,000       "
493,2004,2004 Beneteau First 44.7,888,888 457-229,"$239,900       "
494,1978,1978 CSY Rare Pilothouse!,866,866 220-931,"$229,000       "
495,1996,1996 Hylas Center Cockpit,888,888 203-810,"$229,000       "
496,2007,2007 Hunter 44 Deck Salon,877,877 564-499,"$229,000       "
497,2001,2001 Beneteau Oceanis 44 CC,866,866 220-931,"$199,000       "
498,2003,2003 Hunter 44 AC,888,888 452-892,"$198,900       "
499,2007,2007 Hunter 44 Deck Salon,888,888 363-495,"$195,000       "
500,2003,2003 Hunter 44 AC,888,888 452-892,"$189,000       "
501,1979,1979 Nautors swan 441,349,34952810066,"$181,260       "
502,2006,2006 Hunter 44 Deck Salon,888,888 452-892,"$179,900       "
503,2001,2001 Finngulf 44,860,860 536-777,"$175,000       "
504,2005,2005 Hunter 44,866,866 476-577,"$173,500       "
505,2004,2004 Hunter 44 DS,888,888 363-495,"$169,500       "
506,1980,1980 Wellington Center Cockpit Cutter Rig,866,866 220-931,"$169,500       "
507,2003,2003 Hunter 44 Aft Cockpit,585,585 339-973,"$169,000       "
508,2003,2003 Hunter 426 Deck Salon,310,310 821-588,"$149,000       "
509,1965,1965 Palmer Johnson 44 Pearson Countess,888,888 669-845,"$139,000       "
510,1987,1987 Mason 44,877,877 849-439,"$134,900       "
511,1995,1995 Bavaria 44,888,888 457-229,"$134,500       "
512,1988,1988 Morgan 44 Center Cockpit,877,877 564-794,"$130,000       "
513,1978,1978 Spencer 1330,866,866 656-139,"$123,400       "
514,1990,1990 Hylas 44,800,800 537-005,"$120,000       "
515,1981,1981 Gulfstar Center Cockpit Sloop,866,866 297-067,"$118,000       "
516,2005,2005 Pauger RC 44,954,954 763-397,"$108,196       "
517,1985,1985 CAL 44,888,888 457-229,"$99,900        "
518,1978,1978 CSY walkover,866,866 220-931,"$99,500        "
519,1981,1981 Gulfstar 44,866,866 477-588,"$99,500        "
520,1989,1989 C&C 44,866,866 513-857,"$99,500        "
521,1979,1979 Cheoy Lee Perry 44,866,866 958-876,"$95,000        "
522,1982,1982 Gulfstar 44,941,941 914-921,"$90,000        "
523,1989,1989 Custom cruising ketch,888,888 573-425,"$89,000        "
524,1989,1989 Lafitte 44 Cutter (Sail),941,941 914-921,"$79,500        "
525,1981,1981 Bruce Roberts Offshore 44,120,12062820110,"$79,000        "
526,1946,1946 Fellows & Stewart F&S 44,310,310 821-588,"$70,000        "
527,1979,1979 Bombay 44 Explorer,120,12062820110,"$69,900        "
528,1979,1979 Cheoy Lee 44 Ketch,941,941 914-921,"$67,200        "
529,1994,1994 Beneteau Oceanis 445,888,888 281-430,"$65,000        "
530,1979,1979 David Laux 44 Cutter Sloop,866,866 202-668,"$62,000        "
531,1974,1974 Gulfstar Ketch,877,877 564-970,"$54,900        "
532,1982,1982 Astilleros Gallart 44 ms,941,941 914-921,"$46,000        "
533,1975,1975 Reliance 44,888,888 397-851,"$39,900        "
534,2006,2006 1926 Alden Schooner,860,860 536-777,"$650,000       "
535,2006,2006 J Boats 133,310,310 821-588,"$349,000       "
536,2012,2012 Beneteau SENSE 43,310,310 821-588,"$329,000       "
537,2011,2011 Beneteau SENSE 43,727,727 214-159,"$325,000       "
538,1993,1993 Alden Yachts 43,877,877 393-260,"$299,000       "
539,1988,1988 Ta Shing Tazwell Center Cockpit Cutter,888,888 474-702,"$289,000       "
540,2000,2000 Fountaine Pajot Belize,800,800 537-005,"$265,000       "
541,2005,2005 Jeanneau Sun Odyssey 43 DS,888,888 457-229,"$227,000       "
542,2008,2008 Beneteau 43,888,888 452-892,"$219,000       "
543,2001,2001 Alubat OVNI 435,888,888 474-702,"$216,391       "
544,2009,2009 Beneteau 43,888,888 457-229,"$209,000       "
545,1998,1998 Saga 43 SHOAL DRAFT,888,888 573-425,"$209,000       "
546,1991,1991 Lavranos 43,919,919 602-406,"$199,900       "
547,2000,2000 Saga 43 SHOAL DRAFT,888,888 573-425,"$194,900       "
548,2005,2005 Beneteau 423,877,877 849-439,"$189,000       "
549,2002,2002 Jeanneau Sun Odyssey 43 DS,877,877 564-499,"$185,500       "
550,1997,1997 Hans Christian Yachts Christina 43,941,941 914-921,"$183,300       "
551,1996,1996 Voyage Yachts 430,888,888 474-702,"$179,000       "
552,2007,2007 Beneteau 423,866,866 476-577,"$179,000       "
553,2001,2001 Jeanneau 43DS,888,888 421-260,"$178,000       "
554,2005,2005 Beneteau 423,877,877 899-220,"$174,995       "
555,2005,2005 Jeanneau Sun Odyssey 43 DS,866,866 202-668,"$169,000       "
556,2007,2007 Beneteau Cyclades,866,866 340-433,"$165,141       "
557,2002,2002 Jeanneau Sun Odyssey,619,619 497-299,"$159,000       "
558,1996,1996 Hampton Pilothouse Cutter,877,877 564-055,"$149,900       "
559,2005,2005 Beneteau 423 Oceanis,386,386 255-074,"$140,900       "
560,2003,2003 Beneteau 423,866,866 729-252,"$139,000       "
561,2003,2003 Jeanneau Sun Odyssey 43 DS,954,954 763-397,"$130,000       "
562,2003,2003 Jeanneau 43' Deck Salon,877,877 564-499,"$129,900       "
563,1978,1978 Hinckley H-43 Mk II,888,888 732-911,"$125,000       "
564,1984,1984 Hans Christian 43 cutter,561,561 844-410,"$119,900       "
565,1984,1984 Young Sun Cutter,877,877 502-133,"$119,000       "
566,1956,1956 Abeking & Rasmussen Yawl,888,888 573-425,"$117,500       "
567,1971,1971 Irwin Yachts 43 Classic,941,941 914-921,"$110,880       "
568,1986,1986 Hans Christian CHRISTINA 43,954,954 372-394,"$109,900       "
569,1982,1982 Spindrift Pilothouse,877,877 564-055,"$99,900        "
570,1990,1990 Andrews 43,949,949 791-422,"$99,777        "
571,1995,1995 Hunter 430 Passage,877,877 564-794,"$97,000        "
572,1997,1997 Hunter 430,888,888 344-568,"$89,900        "
573,1986,1986 Morgan Catalina Morgan 43 Center Cockpit,888,888 573-425,"$88,000        "
574,1993,1993 Nelson / Marek 43,877,877 273-039,"$84,900        "
575,1988,1988 Beneteau Oceanis 43,877,877 564-055,"$79,900        "
576,1986,1986 Morgan Catalina/Morgan 43' Center Cockpit,727,727 460-568,"$79,900        "
577,1988,1988 Beneteau 432,888,888 457-229,"$79,000        "
578,1983,1983 Spindrift Yachts Center Cockpit,866,866 477-588,"$79,000        "
579,1986,1986 Irwin Yachts 43 MK II Center Cockpit,888,888 573-425,"$79,000        "
580,1987,1987 Beneteau Moorings 432,877,877 780-526,"$77,000        "
581,1979,1979 Schucker 436 Motorsailer,888,888 457-229,"$77,000        "
582,1984,1984 Beneteau 43 Idylle 13.50,888,888 457-229,"$75,000        "
583,1988,1988 Beneteau 432 Moorings,941,941 914-921,"$75,000        "
584,1983,1983 Glacer 43,866,866 469-964,"$75,000        "
585,1998,1998 Bruce Roberts 434-D,800,800 537-005,"$74,900        "
586,1988,1988 Irwin MK III,866,866 220-931,"$69,900        "
587,1983,1983 Bruce Roberts Mauritius,866,866 220-931,"$64,900        "
588,1984,1984 C&C Landfall Landfall,866,866 220-931,"$64,000        "
589,1976,1976 Gulfstar Mark II Center Cockpit,888,888 573-425,"$53,500        "
590,1979,1979 C & C Custom,888,888 596-426,"$49,995        "
591,1979,1979 Gulfstar Mk II Center Cockpit 43,866,866 513-857,"$49,900        "
592,1970,1970 Columbia 43,386,386 931-384,"$48,500        "
593,1981,1981 Bruce Roberts 43,843,843 576-235,"$45,000        "
594,1968,1968 C & C 43 Aluminum,941,941 914-921,"$41,900        "
595,1988,1988 Horstman 43 XRC,941,941 914-921,"$37,500        "
596,1970,1970 Columbia Sloop,508,508 478-020,"$20,000        "
597,2003,2003 Chris White Designs Atlantic,866,866 220-931,"$399,000       "
598,2008,2008 Manta 42 MkIV,866,866 220-931,"$389,900       "
599,2005,2005 Manta 42 MK II,888,888 341-072,"$344,900       "
600,2005,2005 Manta 42 MK II,888,888 341-072,"$309,900       "
601,2004,2004 Manta 42 MK II,888,888 341-072,"$299,900       "
602,2002,2002 Manta 42 MkII Sail Catamaran,888,888 341-072,"$299,900       "
603,2004,2004 Valiant CE 42,866,866 513-857,"$299,000       "
604,1994,1994 FONTAINE PAJOT 42 Venezia,941,941 914-921,"$276,000       "
605,2005,2005 Catalina 42 MK II,516,516 623-625,"$200,000       "
606,2007,2007 Catalina 42 MkII,888,888 365-848,"$199,900       "
607,2005,2005 Hunter 456,619,619 319-013,"$199,500       "
608,2001,2001 Crowther Osborn 42 Super Shockwave,866,866 220-931,"$199,000       "
609,1995,1995 Fountaine Pajot Venezia 42,877,877 564-499,"$199,000       "
610,2006,2006 Beneteau 423,888,888 457-229,"$189,900       "
611,2007,2007 Jeanneau SUN ODYSSEY42 DS,877,877 899-220,"$189,895       "
612,2008,2008 Lutra 42,843,843 576-235,"$187,000       "
613,2003,2003 Hunter 426 Deck Saloon,800,800 247-123,"$179,900       "
614,2001,2001 J Boats 42,877,877 564-794,"$179,000       "
615,2003,2003 Beneteau USA 423,866,866 729-252,"$179,000       "
616,2004,2004 Beneteau 42 CC,877,877 564-499,"$175,000       "
617,2003,2003 Catalina 42 MkII,866,866 202-668,"$175,000       "
618,2004,2004 Beneteau 423,310,310 821-588,"$170,000       "
619,1994,1994 Sabre 425,866,866 342-183,"$169,900       "
620,2004,2004 Hunter 420 Passage Center Cockpit,888,888 457-229,"$169,900       "
621,2006,2006 Beneteau 423,814,814 455-680,"$169,900       "
622,2005,2005 Beneteau 423,949,949 791-422,"$169,777       "
623,2007,2007 Beneteau 423,888,888 889-424,"$169,000       "
624,2004,2004 Catalina 42 MkII,877,877 393-260,"$167,900       "
625,2004,2004 Beneteau 423,231,231 557-014,"$165,000       "
626,1984,1984 Pearson 422 Aft Cabin Ketch,866,866 728-560,"$164,995       "
627,1999,1999 Hunter Passage Center Cockpit,954,954 763-397,"$159,000       "
628,2002,2002 Hunter 420 Passage CC,888,888 457-229,"$155,000       "
629,2003,2003 Beneteau OCEANIS 423,866,866 536-237,"$154,900       "
630,1987,1987 Tayana Center Cockpit,877,877 502-133,"$149,000       "
631,1991,1991 Sabre 425,888,888 457-229,"$145,000       "
632,2005,2005 Beneteau 423 Oceanis,386,386 255-074,"$140,900       "
633,2000,2000 Catalina 42 MK II 3 Cabin,866,866 342-183,"$139,900       "
634,2002,2002 Hunter Passage 420,877,877 564-499,"$139,000       "
635,2002,2002 Hunter 420,888,888 452-892,"$133,000       "
636,1988,1988 CSK 42' Ocean Cat,310,310 821-588,"$129,950       "
637,2002,2002 Hunter 420,888,888 457-229,"$129,900       "
638,1998,1998 Catalina 42 MkII,866,866 220-931,"$129,000       "
639,2000,2000 Hunter 420 Passage Center Cockpit,585,585 339-973,"$124,900       "
640,1982,1982 Whitby 42,866,866 292-809,"$123,900       "
641,1993,1993 Hunter 42,877,877 564-499,"$120,000       "
642,1999,1999 Hunter 420 Passage,949,949 791-422,"$119,500       "
643,1994,1994 Hunter 42 Passage Sloop,888,888 573-425,"$119,000       "
644,2003,2003 Hunter 426 Deck Salon,941,941 914-921,"$117,500       "
645,1983,1983 Brewer Custom 42 Center Cockpit,239,239 352-555,"$117,500       "
646,1997,1997 Hunter 42,941,941 914-921,"$117,000       "
647,1992,1992 Hunter 42 Passage,866,866 656-139,"$115,000       "
648,1984,1984 42' Tayana CC ,866,866 220-931,"$112,000       "
649,1979,1979 Robert Perry Custom 42,866,866 656-139,"$110,000       "
650,1994,1994 Catalina 42,888,888 676-442,"$109,000       "
651,1993,1993 Catalina 42 Mk I,888,888 387-229,"$109,000       "
652,1990,1990 Catalina 42,562,562 437-750,"$108,000       "
653,1989,1989 Catalina MK I,866,866 220-931,"$105,000       "
654,1991,1991 42 CAtalina Mark 1 Three Cabin Pullman,888,888 573-425,"$105,000       "
655,1999,1999 Hunter 420 Center Cockpit,877,877 657-244,"$100,000       "
656,1993,1993 Hunter Passage 42,866,866 263-993,"$99,900        "
657,1999,1999 Hunter 420,888,888 452-892,"$99,900        "
658,1993,1993 Hunter 42 Passage,310,310 821-588,"$99,000        "
659,1990,1990 Hunter 42 Passage,631,631 963-448,"$99,000        "
660,1995,1995 Catalina 42,888,888 880-797,"$99,000        "
661,1992,1992 Catalina 42 MkI sloop,310,310 821-588,"$99,000        "
662,1975,1975 COLVIN Gazelle,866,866 220-931,"$97,000        "
663,1985,1985 Endeavour ,888,888 596-426,"$94,000        "
664,1981,1981 Whitby 42,888,888 352-901,"$93,000        "
665,1991,1991 Hunter 42,888,888 363-495,"$91,000        "
666,1987,"1987 Endeavour Center Cockpit, 2002 Yanmar",866,866 477-485,"$90,000        "
667,1965,1965 Spencer A Full Keel Ketch,866,866 656-139,"$89,950        "
668,1974,1974 CAMPER & NICHOLSON CC Ketch,877,877 780-526,"$89,950        "
669,1981,1981 Tartan 42,877,877 564-174,"$89,900        "
670,1994,1994 Catalina 42 Two cabin,949,949 791-422,"$89,777        "
671,1982,1982 Cooper 416,866,866 656-139,"$89,000        "
672,1975,1975 Irwin 42 Ketch,800,800 537-005,"$85,000        "
673,1987,1987 Endeavour Center Cockpit,855,855 822-828,"$79,900        "
674,1973,1973 Whitby 42,866,866 271-195,"$79,300        "
675,1975,1975 Whitby/Brewer ,888,888 203-810,"$79,000        "
676,1989,1989 Catalina Three Stateroom,866,866 728-560,"$78,995        "
677,1991,1991 Hunter 42 Passage CC,888,888 676-442,"$75,000        "
678,1992,1992 Catalina 42,877,877 657-244,"$74,500        "
679,2004,2004 Cascade Yachts 42 Center,866,866 813-833,"$69,990        "
680,1980,1980 Pearson 424 Sloop (Updated Yanmar Diesel),866,866 220-931,"$69,500        "
681,1986,1986 Cascade 42,120,12062820110,"$69,500        "
682,1990,1990 Sabre CB,888,888 281-430,"$69,000        "
683,2004,2004 Cascade 42,888,888 452-892,"$68,990        "
684,1982,1982 Whitby 42,888,888 352-901,"$65,500        "
685,1987,1987 Endeavour 42,866,866 263-993,"$64,000        "
686,1977,1977 Cascade 42 High Side,941,941 914-921,"$59,900        "
687,1983,1983 Pearson 424 Cutter,888,888 457-229,"$59,900        "
688,1970,1970 Cascade 42 Masthead Sloop,941,941 914-921,"$55,800        "
689,1982,1982 Vagabond Ketch,866,866 220-931,"$55,000        "
690,1970,1970 Cheoy Lee Clipper 42,866,866 289-181,"$55,000        "
691,1975,1975 Irwin Center Cockpit Ketch,888,888 281-430,"$54,900        "
692,1990,1990 Dufour Gib'Sea 422 Furling main,727,727 592-891,"$54,900        "
693,1977,1977 Alpa 42 Cutter Ketch,888,888 221-278,"$49,900        "
694,1975,1975 Irwin Yachts 42 Ketch,941,941 914-921,"$44,900        "
695,1983,1983 Peterson Custom Sloop,877,877 533-659,"$39,900        "
696,1987,1987 Cenmarine Baltic Magnum 42,888,888 352-901,"$39,900        "
697,2004,2004 #1 HULL 42 Custom Schooner,941,941 914-921,"$37,500        "
698,1979,1979 Pearson 424 Sloop,888,888 227-665,"$34,900        "
699,1972,1972 Columbia C-41 Center Cockpit Sloop,941,941 914-921,"$28,500        "
700,1976,1976 Formosa 42 Sea Tiger,941,941 914-921,"$10,500        "
701,2015,2015 Hans Christian 41 TRADITIONAL CUTER,877,877 780-526,"$570,000       "
702,2004,2004 Colin Archer Pilot,888,888 658-144,"$475,000       "
703,2014,2014 Lagoon 421,800,800 537-005,"$432,782       "
704,2003,2003 Lagoon 410-S2 Owners Version,888,888 457-229,"$328,900       "
705,2007,2007 X-Yachts X 41,860,860 536-777,"$279,000       "
706,2000,2000 Passport 41,877,877 564-794,"$275,000       "
707,2012,2012 Beneteau Oceanis 41,877,877 564-499,"$245,000       "
708,2000,2000 Catana 401,888,888 669-845,"$229,000       "
709,2011,2011 Hunter 41DS,888,888 363-495,"$227,000       "
710,1998,1998 Tartan 4100,419,419 304-440,"$225,000       "
711,2000,2000 Lagoon 410,954,954 763-397,"$220,000       "
712,1997,1997 Tartan 4100,888,888 369-411,"$199,000       "
713,2006,2006 Wauquiez Pilot Saloon 41,201,201 985-809,"$189,900       "
714,2005,2005 Hunter 41 Deck Salon,866,866 271-195,"$169,800       "
715,1984,1984 Belliure 41,888,888 352-901,"$165,000       "
716,2007,2007 Hunter 41 Deck Saloon Sailboat,941,941 914-921,"$164,900       "
717,2005,2005 Hunter 41AC,888,888 363-495,"$159,900       "
718,2007,2007 Hunter 41 AC,941,941 914-921,"$157,900       "
719,2005,2005 Hunter 41 AC,888,888 387-229,"$154,900       "
720,2005,2005 Hunter 41 AC,888,888 452-892,"$149,900       "
721,1996,1996 Sydney 41,949,949 791-422,"$149,777       "
722,1986,1986 Lord Nelson 41,866,866 513-857,"$149,500       "
723,1983,1983 Lord Nelson Cutter,855,855 241-631,"$149,000       "
724,1999,1999 Hunter 410,877,877 273-039,"$139,900       "
725,1996,1996 Wauquiez Centurion 41s,877,877 564-970,"$130,974       "
726,2001,2001 Beneteau 411,888,888 365-848,"$129,900       "
727,2001,2001 Beneteau Oceanis 411,866,866 908-126,"$129,700       "
728,1988,1988 Morgan 41 Classic Sloop,866,866 220-931,"$129,000       "
729,2001,2001 Beneteau 411,888,888 457-229,"$127,900       "
730,2000,2000 Hunter 410,877,877 564-794,"$126,000       "
731,2000,2000 Hunter 410,941,941 350-452,"$126,000       "
732,2000,2000 Beneteau 411,888,888 457-229,"$124,000       "
733,2000,2000 Beneteau 411,201,201 985-809,"$119,900       "
734,2005,2005 Hunter 41,954,954 763-397,"$119,900       "
735,2000,2000 Hunter 410,616,616 723-801,"$119,899       "
736,1990,1990 Tartan 412,888,888 457-229,"$119,500       "
737,1998,1998 Hunter 410,866,866 271-195,"$119,500       "
738,1999,1999 Beneteau 411 ,866,866 271-195,"$119,450       "
739,1999,1999 Beneteau 411,888,888 669-845,"$119,000       "
740,1999,1999 Beneteau 411 Oceanis,877,877 849-439,"$118,900       "
741,2001,2001 Beneteau 411,877,877 470-353,"$118,000       "
742,2001,2001 Hunter 410,888,888 457-229,"$117,500       "
743,1999,1999 Beneteau Oceanis Clipper 411,877,877 255-126,"$116,900       "
744,2001,2001 Beneteau 411,866,866 220-931,"$115,000       "
745,1984,1984 Sea Finn 411 Motorsailer,941,941 914-921,"$110,000       "
746,1994,1994 Hunter Legend 40.5,877,877 502-133,"$105,000       "
747,1987,1987 Lord Nelson Yanmar,888,888 457-229,"$99,900        "
748,1977,1977 Islander Freeport CC Ketch,855,855 257-705,"$99,500        "
749,2001,2001 Beneteau 411,888,888 457-229,"$99,500        "
750,1985,1985 Bristol 41.1 Aft Cockpit,386,386 255-074,"$99,000        "
751,1988,1988 Morgan Classic 41,321,321 987-909,"$94,900        "
752,1985,1985 Moody 419,941,941 914-921,"$93,000        "
753,1999,1999 Hunter 410,843,843 340-008,"$89,900        "
754,1981,1981 Cooper Yachts 416,855,855 257-705,"$87,500        "
755,1979,1979 Morgan 41 Out Island,941,941 914-921,"$83,300        "
756,1980,1980 Downeaster Pilothouse,866,866 513-857,"$80,000        "
757,1978,1978 Morgan 415 OutIsland,866,866 469-964,"$79,900        "
758,1996,1996 Hunter 40.5,201,201 985-809,"$77,500        "
759,1987,1987 Morgan 41 Catalina Classic MKII,941,941 914-921,"$76,000        "
760,1990,1990 Morgan Classic 41,888,888 457-229,"$74,900        "
761,1976,1976 Island Trader Freeport 41,941,941 914-921,"$72,200        "
762,1987,1987 Cayenne 41,888,888 457-229,"$69,900        "
763,1979,1979 Ta Chiao 41 Cutter,941,941 914-921,"$68,500        "
764,1980,1980 Morgan 415 Out Island Ketch,941,941 914-921,"$66,700        "
765,1973,1973 Gulfstar Center Cockpit Ketch,954,954 763-397,"$65,000        "
766,1977,1977 Island Trader 41,866,866 263-993,"$64,500        "
767,1987,1987 Morgan 41ft,321,321 866-030,"$60,000        "
